Kategooria;Mark;Mudel;Keretüüp;Esm reg aasta;Mootori tüüp;Mootori võimsus;Mootori maht;CO2;Istekohti;Telgi kokku;Registrimass;Tühimass;Täismass;Värv;Maakond;Linn;Tüüp;Arv;Kuu
M1;AUDI;A4;SEDAAN;2011;Diisel;;1968;;5;2;2015;1540;;;Harjumaa;;Juriidiline isik;1;5
M1;AUDI;A4 AVANT;UNIVERSAAL;2011;Bensiin kat.;;1798;;5;2;2080;1585;;;Harjumaa;;Juriidiline isik;1;5
M1;AUDI;A6;SEDAAN;2011;Bensiin kat.;;2995;;5;2;2350;1815;;;Harjumaa;;Füüsiline isik;1;5
M1;AUDI;A6;SEDAAN;2011;Diisel;;1968;;5;2;2155;1650;;;Harjumaa;;Juriidiline isik;1;5
M1;AUDI;A6;SEDAAN;2011;Diisel;;2967;;5;2;2330;1795;;;Harjumaa;;Juriidiline isik;2;5
M1;AUDI;A7;LUUKPÄRA;2011;Diisel;;2967;;4;2;2335;1860;;;Harjumaa;;Juriidiline isik;1;5
M1;AUDI;A8L;SEDAAN;2011;Diisel;;2967;;5;2;2540;1965;;;Harjumaa;;Riigiasutus;1;5
M1;AUDI;A8L;SEDAAN;2011;Diisel;;4134;;4;2;2670;2120;;;Harjumaa;;Juriidiline isik;1;5
M1;AUDI;S5;LUUKPÄRA;2011;Bensiin kat.;;2995;;4;2;2285;1830;;;Järvamaa;;Juriidiline isik;1;5
M1;BMW;118I;UNIVERSAAL;2011;Bensiin kat.;;1995;;5;2;1800;1375;;;Harjumaa;;Juriidiline isik;1;5
M1;BMW;318I;SEDAAN;2011;Bensiin kat.;;1995;;5;2;1910;1465;;;Harjumaa;;Juriidiline isik;1;5
M1;BMW;320D XDRIVE;SEDAAN;2011;Diisel;;1995;;5;2;2060;1615;;;Võrumaa;;Juriidiline isik;1;5
M1;BMW;325I XDRIVE;SEDAAN;2011;Bensiin kat.;;2996;;5;2;2080;1635;;;Harjumaa;;Juriidiline isik;1;5
M1;BMW;520D;SEDAAN;2011;Diisel;;1995;;5;2;2235;1700;;;Harjumaa;;Juriidiline isik;2;5
M1;BMW;523I;SEDAAN;2011;Bensiin kat.;;2996;;5;2;2260;1725;;;Harjumaa;;Juriidiline isik;2;5
M1;BMW;525D;SEDAAN;2011;Diisel;;2993;;5;2;2315;1780;;;Määramata;;Füüsiline isik;1;5
M1;BMW;530D XDRIVE;SEDAAN;2011;Diisel;;2993;;5;2;2645;2090;;;Harjumaa;;Juriidiline isik;1;5
