Kategooria;Mark;Mudel;Keretüüp;Esm reg aasta;Mootori tüüp;Mootori võimsus;Mootori maht;CO2;Istekohti;Telgi kokku;Registrimass;Tühimass;Täismass;Värv;Maakond;Linn;Tüüp;Arv;Kuu
M1;ALFA ROMEO;STELVIO;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;206;1995;178;5;2;2300;1810;;PUNANE;HARJU MAAKOND;Tallinn;Füüsiline;1;8
M1;ALFA ROMEO;STELVIO;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;206;1995;161;5;2;2350;1838;;HALL;HARJU MAAKOND;Määramata;Juriidiline;1;8
M1;AUDI;A1 SPORTBACK;LUUKPÄRA;2020;BENSIIN_KATALYSAATOR;110;1498;124;5;2;1705;1289;;SININE;HARJU MAAKOND;Tallinn;Füüsiline;1;8
M1;AUDI;A1 SPORTBACK;LUUKPÄRA;2020;BENSIIN_KATALYSAATOR;110;1498;115;5;2;1705;1300;;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A3 LIMOUSINE;SEDAAN;2020;BENSIIN_KATALYSAATOR;110;1498;117;5;2;1850;1414;;PUNANE;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A4 ALLROAD QUATTRO;UNIVERSAAL;2020;BENSIIN_HYBRIID;180;1984;154;5;2;2200;1743;;VALGE;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A4 AVANT;UNIVERSAAL;2020;BENSIIN_HYBRIID;110;1984;148;5;2;2100;1621;;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A5 SPORTBACK;LUUKPÄRA;2020;BENSIIN_HYBRIID;110;1984;135;5;2;2065;1635;;VALGE;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A7 SPORTBACK;LUUKPÄRA;2020;DIISEL_HYBRIID;210;2967;150;5;2;2535;2059;;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A8;SEDAAN;2020;BENSIIN_HYBRIID;338;3996;259;5;2;2815;2294;;BEEZ;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;A8;SEDAAN;2020;DIISEL_HYBRIID;210;2967;159;5;2;2700;2270;;MUST;HARJU MAAKOND;Tallinn;Riigi;1;8
M1;AUDI;A8L;SEDAAN;2020;BENSIIN_HYBRIID;250;2995;182;5;2;2755;2226;;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;E-TRON 50;UNIVERSAAL;2020;ELEKTER;158;0;0;5;2;3040;2517;;TUMEHALL;HARJU MAAKOND;Määramata;Juriidiline;1;8
M1;AUDI;E-TRON 55;UNIVERSAAL;2020;ELEKTER;158;0;0;5;2;3150;2678;;SININE;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;Q2;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;110;1498;131;5;2;1880;1425;;HALL;HARJU MAAKOND;Määramata;Juriidiline;1;8
M1;AUDI;Q2;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;110;1498;131;5;2;1880;1425;;HALL;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;R8 COUPE;KUPEE;2020;BENSIIN_KATALYSAATOR;456;5204;298;2;2;1915;1713;;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;AUDI;RS6 AVANT;UNIVERSAAL;2020;BENSIIN_HYBRIID;441;3996;279;5;2;2740;2285;;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;BENTLEY;CONTINENTAL GT CONVERTIBLE;LAHTINE;2020;BENSIIN_KATALYSAATOR;467;5950;291;4;2;2865;2515;;PUNANE;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;BMW;218I;SEDAAN;2020;BENSIIN_KATALYSAATOR;103;1499;114;5;2;1905;1496;;HALL;HARJU MAAKOND;Määramata;Juriidiline;1;8
M1;BMW;320I;SEDAAN;2020;BENSIIN_KATALYSAATOR;135;1998;124;5;2;2050;1588;;PRUUN;HARJU MAAKOND;Tallinn;Juriidiline;1;8
M1;BMW;320I;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;135;1998;141;5;2;2135;1645;;HALL;HARJU MAAKOND;Määramata;Juriidiline;1;8
M1;BMW;X1 XDRIVE 18D;UNIVERSAAL;2020;DIISEL;110;1995;131;5;2;2190;1708;;PRUUN;HARJU MAAKOND;Tallinn;Füüsiline;1;8
M1;BMW;X1 XDRIVE 18D;UNIVERSAAL;2020;DIISEL;110;1995;131;5;2;2190;1708;;SININE;HARJU MAAKOND;Määramata;Füüsiline;1;8
M1;BMW;X1 XDRIVE 20I;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;141;1998;143;5;2;2155;1645;;SININE;HARJU MAAKOND;Määramata;Juriidiline;1;8
M1;CHRYSLER;PACIFICA;MAHTUNIVERSAAL;2020;BENSIIN_HYBRIID;194;3605;214;7;2;2858;2339;;MUST;VILJANDI MAAKOND;Määramata;Juriidiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;BENSIIN_KATALYSAATOR;81;1199;122;5;2;2050;1527;;HALL;VALGA MAAKOND;Määramata;Füüsiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;BENSIIN_KATALYSAATOR;81;1199;122;5;2;2050;1527;;MUST;HIIU MAAKOND;Määramata;Füüsiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;BENSIIN_KATALYSAATOR;81;1199;122;5;2;2050;1561;;HALL;PÄRNU MAAKOND;Pärnu linn;Füüsiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;BENSIIN_KATALYSAATOR;81;1199;122;5;2;2050;1561;;SININE;HARJU MAAKOND;Tallinn;Füüsiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;DIISEL;75;1499;107;5;2;2095;1562;;BEEZ;JÕGEVA MAAKOND;Määramata;Füüsiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;DIISEL;96;1499;121;7;2;2320;1708;;MUST;PÕLVA MAAKOND;Määramata;Füüsiline;1;8
M1;CITROEN;BERLINGO;MAHTUNIVERSAAL;2020;BENSIIN_KATALYSAATOR;81;1199;122;5;2;2050;1532;;SININE;HARJU MAAKOND;Tallinn;Juriidiline;1;8
